Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2017-09-02,Iowa State,,Northern Iowa,W,8,108,13.5,0,0,0,,0,0,0,0,0.0,0.0
2,2017-09-09,Iowa State,,Iowa,L,6,23,3.8,2,0,0,,0,1,0,1,0.0,0.0
3,2017-09-16,Iowa State,@,Akron,W,5,47,9.4,1,1,0,0.0,0,0,0,0,0.0,0.0
4,2017-09-28,Iowa State,,Texas,L,5,63,12.6,0,0,0,,0,0,0,0,0.0,0.0
5,2017-10-07,Iowa State,@,Oklahoma,W,3,69,23.0,1,0,0,,0,0,0,0,0.0,0.0
6,2017-10-14,Iowa State,,Kansas,W,3,40,13.3,0,0,0,,0,0,0,0,0.0,0.0
7,2017-10-21,Iowa State,@,Texas Tech,W,3,21,7.0,1,0,0,,0,0,0,0,0.0,0.0
8,2017-10-28,Iowa State,,Texas Christian,W,6,106,17.7,0,0,0,,0,1,0,1,0.0,0.0
9,2017-11-04,Iowa State,@,West Virginia,L,5,49,9.8,1,0,0,,0,0,0,0,0.0,0.0
10,2017-11-11,Iowa State,,Oklahoma State,L,9,126,14.0,2,0,0,,0,0,0,0,0.0,0.0
11,2017-11-18,Iowa State,@,Baylor,W,2,52,26.0,1,1,0,0.0,0,0,0,0,0.0,0.0
12,2017-11-25,Iowa State,@,Kansas State,L,6,95,15.8,0,0,0,,0,0,0,0,0.0,0.0
13,2017-12-30,Iowa State,@,Memphis*,W,10,142,14.2,1,0,0,,0,0,0,0,0.0,0.0
