Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2016-09-03,Florida,,Massachusetts,W,8,72,9.0,1,0,0,,0,1,32,32.0,0,4,33,8.3,0,0,0,0,0.0,0.0
2,2016-09-10,Florida,,Kentucky,W,5,129,25.8,1,0,0,,0,1,21,21.0,0,2,3,1.5,0,0,0,0,0.0,0.0
3,2016-09-24,Florida,@,Tennessee,L,4,134,33.5,0,0,0,,0,0,0,,0,1,0,0.0,0,0,0,0,0.0,0.0
4,2016-10-01,Florida,@,Vanderbilt,W,3,36,12.0,0,0,0,,0,0,0,,0,2,-4,-2.0,0,0,0,0,0.0,0.0
5,2016-10-15,Florida,,Missouri,W,3,28,9.3,0,0,0,,0,1,44,44.0,1,5,8,1.6,0,1,0,1,0.0,0.0
6,2016-10-29,Florida,N,Georgia,W,4,42,10.5,0,1,4,4.0,1,0,0,,0,3,10,3.3,0,0,0,0,0.0,0.0
7,2016-11-05,Florida,@,Arkansas,L,4,44,11.0,0,0,0,,0,0,0,,0,2,25,12.5,0,0,0,0,0.0,0.0
8,2016-11-12,Florida,,South Carolina,W,4,48,12.0,0,0,0,,0,0,0,,0,4,100,25.0,0,0,0,0,0.0,0.0
9,2016-11-19,Florida,@,Louisiana State,W,2,12,6.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0
10,2016-11-26,Florida,@,Florida State,L,6,58,9.7,0,1,24,24.0,0,0,0,,0,1,2,2.0,0,0,0,0,0.0,0.0
11,2016-12-03,Florida,N,Alabama,L,4,63,15.8,1,2,-2,-1.0,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0
12,2017-01-02,Florida,N,Iowa*,W,7,55,7.9,0,1,6,6.0,0,0,0,,0,2,41,20.5,0,0,0,0,0.0,0.0
