Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2017-09-02,Florida State,N,Alabama,L,2,41,20.5,1,1,0,1,0.0,0.0
2,2017-09-23,Florida State,,North Carolina State,L,9,138,15.3,1,0,0,0,0.0,0.0
3,2017-09-30,Florida State,@,Wake Forest,W,2,47,23.5,1,0,0,0,0.0,0.0
4,2017-10-07,Florida State,,Miami (FL),L,3,56,18.7,1,0,0,0,0.0,0.0
5,2017-10-14,Florida State,@,Duke,W,3,30,10.0,1,0,0,0,0.0,0.0
6,2017-10-21,Florida State,,Louisville,L,5,62,12.4,0,0,0,0,0.0,0.0
7,2017-10-27,Florida State,@,Boston College,L,2,12,6.0,0,0,0,0,0.0,0.0
8,2017-11-11,Florida State,@,Clemson,L,4,33,8.3,0,0,0,0,0.0,0.0
9,2017-11-18,Florida State,,Delaware State,W,1,3,3.0,1,0,0,0,0.0,0.0
10,2017-11-25,Florida State,@,Florida,W,2,19,9.5,1,0,0,0,0.0,0.0
11,2017-12-02,Florida State,,Louisiana-Monroe,W,2,23,11.5,0,0,0,0,0.0,0.0
12,2017-12-27,Florida State,N,Southern Mississippi*,W,5,84,16.8,3,0,0,0,0.0,0.0
