Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Cmp,Att,Pct,Yds,TD,Int,Rate,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2017-09-02,Miami (FL),,Bethune-Cookman,W,3,35,11.7,1,0,0,,0,0,0,,1,12,12.0,0,0,0,0,0.0,0.0
2,2017-09-23,Miami (FL),,Toledo,W,5,105,21.0,1,0,0,,0,0,0,,0,0,,0,0,0,0,0.0,0.0
3,2017-09-29,Miami (FL),@,Duke,W,2,52,26.0,1,0,0,,0,0,0,,2,34,17.0,0,0,0,0,0.0,0.0
4,2017-10-07,Miami (FL),@,Florida State,W,8,90,11.3,2,0,0,,0,0,0,,2,38,19.0,0,0,0,0,0.0,0.0
5,2017-10-14,Miami (FL),,Georgia Tech,W,6,44,7.3,0,0,0,,0,0,0,,2,36,18.0,0,0,0,0,0.0,0.0
6,2017-10-21,Miami (FL),,Syracuse,W,1,11,11.0,0,0,0,,0,0,0,,1,12,12.0,0,0,0,0,0.0,0.0
7,2017-10-28,Miami (FL),@,North Carolina,W,7,78,11.1,1,0,0,,0,0,0,,1,15,15.0,0,0,0,0,0.0,0.0
8,2017-11-04,Miami (FL),,Virginia Tech,W,4,59,14.8,1,1,1,100.0,17,0,0,242.8,0,0,,0,0,0,0,0.0,0.0
9,2017-11-11,Miami (FL),,Notre Dame,W,2,10,5.0,1,0,0,,0,0,0,,2,28,14.0,0,1,0,1,0.0,0.0
10,2017-11-18,Miami (FL),,Virginia,W,3,38,12.7,0,0,0,,0,0,0,,0,0,,0,0,0,0,0.0,0.0
11,2017-11-24,Miami (FL),@,Pittsburgh,L,4,61,15.3,1,0,0,,0,0,0,,1,19,19.0,0,0,0,0,0.0,0.0
12,2017-12-02,Miami (FL),N,Clemson,L,7,51,7.3,0,0,0,,0,0,0,,0,0,,0,0,0,0,0.0,0.0
13,2017-12-30,Miami (FL),,Wisconsin*,L,3,45,15.0,0,0,0,,0,0,0,,1,13,13.0,0,0,0,0,0.0,0.0
