Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Cmp,Att,Pct,Yds,TD,Int,Rate,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD
1,2017-09-02,Kansas State,,Central Arkansas,W,3,121,40.3,1,1,15,15.0,0,0,0,,0,0,0,,2,33,16.5,0,0,0,,0
2,2017-09-16,Kansas State,@,Vanderbilt,L,3,25,8.3,0,0,0,,0,0,0,,0,0,0,,0,0,,0,2,4,2.0,0
3,2017-09-30,Kansas State,,Baylor,W,0,0,,0,0,0,,0,0,0,,0,0,0,,1,23,23.0,0,1,34,34.0,0
4,2017-10-07,Kansas State,@,Texas,L,1,28,28.0,0,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,,0
5,2017-10-14,Kansas State,,Texas Christian,L,3,80,26.7,0,0,0,,0,0,1,0.0,0,0,0,0.0,1,23,23.0,0,0,0,,0
6,2017-10-21,Kansas State,,Oklahoma,L,2,70,35.0,0,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,,0
7,2017-10-28,Kansas State,@,Kansas,W,3,92,30.7,0,0,0,,0,0,0,,0,0,0,,1,18,18.0,0,1,10,10.0,0
8,2017-11-04,Kansas State,@,Texas Tech,W,6,95,15.8,2,0,0,,0,0,0,,0,0,0,,3,96,32.0,0,1,8,8.0,0
9,2017-11-11,Kansas State,,West Virginia,L,3,28,9.3,0,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,,0
10,2017-11-18,Kansas State,@,Oklahoma State,W,4,166,41.5,3,0,0,,0,0,0,,0,0,0,,3,114,38.0,1,0,0,,0
11,2017-11-25,Kansas State,,Iowa State,W,0,0,,0,0,0,,0,0,0,,0,0,0,,3,62,20.7,0,0,0,,0
12,2017-12-26,Kansas State,N,UCLA*,W,2,19,9.5,0,0,0,,0,0,0,,0,0,0,,2,48,24.0,0,0,0,,0
