Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD
1,2017-09-02,Alabama,N,Florida State,W,7,82,11.7,1,0,0,,0
2,2017-09-09,Alabama,,Fresno State,W,5,45,9.0,0,1,13,13.0,0
3,2017-09-16,Alabama,,Colorado State,W,3,92,30.7,1,0,0,,0
4,2017-09-23,Alabama,@,Vanderbilt,W,5,43,8.6,0,1,4,4.0,0
5,2017-09-30,Alabama,,Mississippi,W,4,60,15.0,0,0,0,,0
6,2017-10-07,Alabama,@,Texas A&M,W,5,68,13.6,0,0,0,,0
7,2017-10-14,Alabama,,Arkansas,W,4,51,12.8,0,0,0,,0
8,2017-10-21,Alabama,,Tennessee,W,8,82,10.3,0,0,0,,0
9,2017-11-04,Alabama,,Louisiana State,W,3,61,20.3,0,0,0,,0
10,2017-11-11,Alabama,@,Mississippi State,W,5,171,34.2,0,0,0,,0
11,2017-11-18,Alabama,,Mercer,W,3,103,34.3,1,0,0,,0
12,2017-11-25,Alabama,@,Auburn,L,3,38,12.7,0,0,0,,0
13,2018-01-01,Alabama,N,Clemson*,W,4,39,9.8,1,0,0,,0
14,2018-01-08,Alabama,N,Georgia*,W,4,32,8.0,1,0,0,,0
