Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Cmp,Att,Pct,Yds,TD,Int,Rate
1,2017-09-03,Virginia Tech,N,West Virginia,W,7,138,19.7,1,0,0,,0,0,1,0.0,0,0,0,0.0
2,2017-09-09,Virginia Tech,,Delaware,W,6,90,15.0,1,0,0,,0,0,0,,0,0,0,
3,2017-09-16,Virginia Tech,@,East Carolina,W,14,189,13.5,3,0,0,,0,0,0,,0,0,0,
4,2017-09-23,Virginia Tech,,Old Dominion,W,7,106,15.1,0,0,0,,0,0,0,,0,0,0,
5,2017-09-30,Virginia Tech,,Clemson,L,7,74,10.6,0,0,0,,0,0,0,,0,0,0,
6,2017-10-07,Virginia Tech,@,Boston College,W,1,11,11.0,0,0,0,,0,0,0,,0,0,0,
7,2017-10-21,Virginia Tech,,North Carolina,W,5,49,9.8,1,0,0,,0,0,0,,0,0,0,
8,2017-10-28,Virginia Tech,,Duke,W,4,35,8.8,0,0,0,,0,0,0,,0,0,0,
9,2017-11-04,Virginia Tech,@,Miami (FL),L,7,101,14.4,0,0,0,,0,0,0,,0,0,0,
10,2017-11-11,Virginia Tech,@,Georgia Tech,L,2,8,4.0,0,0,0,,0,0,0,,0,0,0,
11,2017-11-18,Virginia Tech,,Pittsburgh,W,8,117,14.6,1,0,0,,0,0,0,,0,0,0,
12,2017-11-24,Virginia Tech,@,Virginia,W,3,46,15.3,0,1,10,10.0,0,0,0,,0,0,0,
