Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD
1,2017-08-31,Oklahoma State,,Tulsa,W,1,13,13.0,0,0,0,,0,1,15,15.0,0
2,2017-09-08,Oklahoma State,@,South Alabama,W,4,54,13.5,0,0,0,,0,0,0,,0
3,2017-09-30,Oklahoma State,@,Texas Tech,W,1,7,7.0,0,0,0,,0,0,0,,0
4,2017-10-14,Oklahoma State,,Baylor,W,1,10,10.0,0,0,0,,0,0,0,,0
5,2017-10-21,Oklahoma State,@,Texas,W,2,30,15.0,0,0,0,,0,0,0,,0
6,2017-10-28,Oklahoma State,@,West Virginia,W,2,21,10.5,0,0,0,,0,1,7,7.0,0
7,2017-11-04,Oklahoma State,,Oklahoma,L,2,47,23.5,0,0,0,,0,0,0,,0
8,2017-11-11,Oklahoma State,@,Iowa State,W,1,13,13.0,0,0,0,,0,0,0,,0
9,2017-11-18,Oklahoma State,,Kansas State,L,2,30,15.0,0,0,0,,0,0,0,,0
10,2017-11-25,Oklahoma State,,Kansas,W,3,24,8.0,0,1,26,26.0,0,0,0,,0
11,2017-12-28,Oklahoma State,N,Virginia Tech*,W,1,15,15.0,0,0,0,,0,0,0,,0
