Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2017-09-02,Louisiana State,N,Brigham Young,W,4,77,19.3,0,2,11,5.5,0,0,0,,0,3,26,8.7,0,0,0,0,0.0,0.0
2,2017-09-09,Louisiana State,,Chattanooga,W,3,103,34.3,0,0,0,,0,0,0,,0,2,73,36.5,1,0,0,0,0.0,0.0
3,2017-09-16,Louisiana State,@,Mississippi State,L,3,23,7.7,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0
4,2017-09-23,Louisiana State,,Syracuse,W,2,30,15.0,0,3,27,9.0,1,0,0,,0,0,0,,0,0,0,0,0.0,0.0
5,2017-09-30,Louisiana State,,Troy,L,4,105,26.3,0,1,-1,-1.0,0,0,0,,0,0,0,,0,1,0,1,0.0,0.0
6,2017-10-07,Louisiana State,@,Florida,W,1,47,47.0,0,3,23,7.7,0,0,0,,0,3,6,2.0,0,0,0,0,0.0,0.0
7,2017-10-14,Louisiana State,,Auburn,W,5,150,30.0,0,0,0,,0,0,0,,0,2,83,41.5,1,0,0,0,0.0,0.0
8,2017-10-21,Louisiana State,@,Mississippi,W,0,0,,0,0,0,,0,1,12,12.0,0,1,-2,-2.0,0,0,0,0,0.0,0.0
9,2017-11-04,Louisiana State,@,Alabama,L,3,53,17.7,0,0,0,,0,0,0,,0,1,2,2.0,0,0,0,0,0.0,0.0
10,2017-11-11,Louisiana State,,Arkansas,W,4,130,32.5,2,1,-4,-4.0,0,0,0,,0,1,-2,-2.0,0,0,0,0,0.0,0.0
11,2017-11-18,Louisiana State,@,Tennessee,W,1,7,7.0,0,0,0,,0,0,0,,0,1,5,5.0,0,0,0,0,0.0,0.0
12,2017-11-25,Louisiana State,,Texas A&M,W,5,86,17.2,1,2,7,3.5,0,0,0,,0,2,-4,-2.0,0,0,0,0,0.0,0.0
13,2018-01-01,Louisiana State,N,Notre Dame*,L,5,63,12.6,0,0,0,,0,0,0,,0,2,3,1.5,0,0,0,0,0.0,0.0
