Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Cmp,Att,Pct,Yds,TD,Int,Rate,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk,Punts,Yds,Avg
1,2017-09-02,Maryland,@,Texas,W,7,133,19.0,1,0,0,,0,0,0,,0,0,0,,1,16,16.0,0,0,0,0,0.0,0.0,0,0,
2,2017-09-09,Maryland,,Towson,W,7,97,13.9,2,1,21,21.0,1,0,0,,0,0,0,,4,45,11.3,0,0,0,0,0.0,0.0,0,0,
3,2017-09-23,Maryland,,Central Florida,L,8,83,10.4,1,1,1,1.0,0,0,0,,0,0,0,,2,40,20.0,0,0,0,0,0.0,0.0,0,0,
4,2017-09-30,Maryland,@,Minnesota,W,8,90,11.3,1,1,24,24.0,0,0,0,,0,0,0,,3,35,11.7,0,0,0,0,0.0,0.0,0,0,
5,2017-10-07,Maryland,@,Ohio State,L,2,11,5.5,0,1,4,4.0,0,0,0,,0,0,0,,0,0,,0,0,0,0,0.0,0.0,0,0,
6,2017-10-14,Maryland,,Northwestern,L,12,210,17.5,2,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,0,0.0,0.0,0,0,
7,2017-10-21,Maryland,@,Wisconsin,L,3,44,14.7,0,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,0,0.0,0.0,0,0,
8,2017-10-28,Maryland,,Indiana,W,4,77,19.3,1,1,11,11.0,0,0,0,,0,0,0,,1,5,5.0,0,0,0,0,0.0,0.0,0,0,
9,2017-11-04,Maryland,N,Rutgers,L,8,75,9.4,0,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,0,0.0,0.0,0,0,
10,2017-11-11,Maryland,,Michigan,L,5,37,7.4,0,0,0,,0,1,1,100.0,21,0,0,276.4,1,0,0.0,0,1,0,1,0.0,0.0,1,34,34.0
11,2017-11-18,Maryland,@,Michigan State,L,8,76,9.5,0,0,0,,0,0,0,,0,0,0,,1,2,2.0,0,0,0,0,0.0,0.0,0,0,
12,2017-11-25,Maryland,,Penn State,L,8,100,12.5,0,0,0,,0,1,1,100.0,-6,0,0,49.6,2,10,5.0,0,0,0,0,0.0,0.0,0,0,
