Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2017-09-02,Penn State,,Akron,W,3,74,24.7,0,0,0,,0,0,0,0,0.0,0.0
2,2017-09-09,Penn State,,Pittsburgh,W,3,45,15.0,0,0,0,,0,0,0,0,0.0,0.0
3,2017-09-16,Penn State,,Georgia State,W,3,44,14.7,1,0,0,,0,0,0,0,0.0,0.0
4,2017-09-23,Penn State,@,Iowa,W,2,46,23.0,0,0,0,,0,0,0,0,0.0,0.0
5,2017-09-30,Penn State,,Indiana,W,9,122,13.6,3,1,2,2.0,0,0,0,0,0.0,0.0
6,2017-10-07,Penn State,@,Northwestern,W,2,35,17.5,0,0,0,,0,0,0,0,0.0,0.0
7,2017-10-21,Penn State,,Michigan,W,6,115,19.2,0,0,0,,0,0,0,0,0.0,0.0
8,2017-10-28,Penn State,@,Ohio State,L,1,13,13.0,1,0,0,,0,0,0,0,0.0,0.0
9,2017-11-04,Penn State,@,Michigan State,L,7,112,16.0,1,0,0,,0,1,0,1,0.0,0.0
10,2017-11-11,Penn State,,Rutgers,W,3,40,13.3,1,0,0,,0,0,0,0,0.0,0.0
11,2017-11-18,Penn State,,Nebraska,W,4,42,10.5,0,0,0,,0,0,0,0,0.0,0.0
12,2017-11-25,Penn State,@,Maryland,W,5,59,11.8,0,0,0,,0,0,0,0,0.0,0.0
13,2017-12-30,Penn State,N,Washington*,W,5,110,22.0,2,0,0,,0,0,0,0,0.0,0.0
