Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2017-09-02,Clemson,,Kent State,W,2,70,35.0,1,0,0,0,0.0,0.0
2,2017-09-09,Clemson,,Auburn,W,2,27,13.5,0,0,0,0,0.0,0.0
3,2017-09-16,Clemson,@,Louisville,W,4,29,7.3,0,0,0,0,0.0,0.0
4,2017-09-23,Clemson,,Boston College,W,3,25,8.3,0,0,0,0,0.0,0.0
5,2017-09-30,Clemson,@,Virginia Tech,W,2,55,27.5,0,0,1,1,0.0,0.0
6,2017-10-07,Clemson,,Wake Forest,W,4,38,9.5,1,0,0,0,0.0,0.0
7,2017-10-13,Clemson,@,Syracuse,L,7,55,7.9,0,0,0,0,0.0,0.0
8,2017-10-28,Clemson,,Georgia Tech,W,4,57,14.3,1,0,0,0,0.0,0.0
9,2017-11-04,Clemson,@,North Carolina State,W,9,84,9.3,1,0,0,0,0.0,0.0
10,2017-11-11,Clemson,,Florida State,W,4,17,4.3,0,0,0,0,0.0,0.0
11,2017-11-18,Clemson,,Citadel,W,5,140,28.0,1,0,0,0,0.0,0.0
12,2017-11-25,Clemson,@,South Carolina,W,3,23,7.7,0,0,0,0,0.0,0.0
13,2017-12-02,Clemson,N,Miami (FL),W,3,39,13.0,1,0,0,0,0.0,0.0
14,2018-01-01,Clemson,N,Alabama*,L,6,75,12.5,0,0,0,0,0.0,0.0
