Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD
1,2017-09-02,Southern California,,Western Michigan,W,7,142,20.3,0,0,0,,0
2,2017-09-09,Southern California,,Stanford,W,9,121,13.4,2,1,3,3.0,0
3,2017-09-16,Southern California,,Texas,W,8,123,15.4,2,0,0,,0
4,2017-09-23,Southern California,@,California,W,9,76,8.4,1,0,0,,0
5,2017-09-29,Southern California,@,Washington State,L,6,45,7.5,0,0,0,,0
6,2017-10-07,Southern California,,Oregon State,W,2,20,10.0,1,0,0,,0
7,2017-10-14,Southern California,,Utah,W,8,99,12.4,0,0,0,,0
8,2017-10-21,Southern California,@,Notre Dame,L,8,113,14.1,1,0,0,,0
9,2017-10-28,Southern California,@,Arizona State,W,4,49,12.3,1,0,0,,0
10,2017-11-04,Southern California,,Arizona,W,2,44,22.0,0,0,0,,0
11,2017-11-11,Southern California,@,Colorado,W,6,79,13.2,1,0,0,,0
12,2017-11-18,Southern California,,UCLA,W,4,55,13.8,0,0,0,,0
13,2017-12-01,Southern California,N,Stanford,W,1,9,9.0,0,1,-5,-5.0,0
14,2017-12-29,Southern California,N,Ohio State*,L,12,139,11.6,0,0,0,,0
