Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD
1,2017-09-02,Texas Tech,,Eastern Washington,W,4,35,8.8,0,0,0,,0
2,2017-09-16,Texas Tech,,Arizona State,W,8,160,20.0,2,1,3,3.0,1
3,2017-09-23,Texas Tech,@,Houston,W,2,34,17.0,0,0,0,,0
4,2017-09-30,Texas Tech,,Oklahoma State,L,6,67,11.2,1,0,0,,0
5,2017-10-07,Texas Tech,@,Kansas,W,2,26,13.0,0,0,0,,0
6,2017-10-14,Texas Tech,@,West Virginia,L,8,85,10.6,1,0,0,,0
7,2017-10-21,Texas Tech,,Iowa State,L,6,48,8.0,0,0,0,,0
8,2017-10-28,Texas Tech,@,Oklahoma,L,3,75,25.0,1,0,0,,0
9,2017-11-04,Texas Tech,,Kansas State,L,8,99,12.4,1,0,0,,0
10,2017-11-11,Texas Tech,N,Baylor,W,11,94,8.5,0,0,0,,0
11,2017-11-18,Texas Tech,,Texas Christian,L,7,55,7.9,0,0,0,,0
12,2017-11-24,Texas Tech,@,Texas,W,2,12,6.0,0,0,0,,0
13,2017-12-23,Texas Tech,N,South Florida*,L,4,26,6.5,1,0,0,,0
