Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD
1,2017-09-02,Notre Dame,,Temple,W,4,80,20.0,1
2,2017-09-09,Notre Dame,,Georgia,L,2,16,8.0,0
3,2017-09-16,Notre Dame,@,Boston College,W,1,3,3.0,0
4,2017-09-23,Notre Dame,@,Michigan State,W,4,61,15.3,0
5,2017-09-30,Notre Dame,,Miami (OH),W,3,42,14.0,1
6,2017-10-07,Notre Dame,@,North Carolina,W,1,9,9.0,0
7,2017-10-21,Notre Dame,,Southern California,W,3,29,9.7,1
8,2017-10-28,Notre Dame,,North Carolina State,W,2,13,6.5,0
9,2017-11-04,Notre Dame,,Wake Forest,W,2,36,18.0,0
10,2017-11-11,Notre Dame,@,Miami (FL),L,4,68,17.0,0
11,2017-11-25,Notre Dame,@,Stanford,L,5,111,22.2,1
12,2018-01-01,Notre Dame,N,Louisiana State*,W,2,47,23.5,0
