Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2017-09-02,Missouri,,Missouri State,W,4,187,46.8,2,0,0,0,0.0,0.0
2,2017-09-09,Missouri,,South Carolina,L,3,29,9.7,0,0,0,0,0.0,0.0
3,2017-09-16,Missouri,,Purdue,L,3,61,20.3,0,1,0,1,0.0,0.0
4,2017-09-23,Missouri,,Auburn,L,2,35,17.5,1,0,0,0,0.0,0.0
5,2017-10-07,Missouri,@,Kentucky,L,7,86,12.3,1,0,0,0,0.0,0.0
6,2017-10-14,Missouri,@,Georgia,L,1,8,8.0,0,0,0,0,0.0,0.0
7,2017-10-21,Missouri,,Idaho,W,11,174,15.8,1,0,0,0,0.0,0.0
8,2017-10-28,Missouri,@,Connecticut,W,8,96,12.0,2,0,0,0,0.0,0.0
9,2017-11-04,Missouri,,Florida,W,5,64,12.8,1,0,0,0,0.0,0.0
10,2017-11-11,Missouri,,Tennessee,W,3,39,13.0,1,0,0,0,0.0,0.0
11,2017-11-18,Missouri,@,Vanderbilt,W,3,78,26.0,0,0,0,0,0.0,0.0
12,2017-11-24,Missouri,@,Arkansas,W,10,160,16.0,1,0,0,0,0.0,0.0
13,2017-12-27,Missouri,N,Texas*,L,5,65,13.0,0,0,0,0,0.0,0.0
