Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD
1,2017-08-31,Oklahoma State,,Tulsa,W,6,145,24.2,2,1,-1,-1.0,0
2,2017-09-08,Oklahoma State,@,South Alabama,W,2,98,49.0,1,0,0,,0
3,2017-09-16,Oklahoma State,@,Pittsburgh,W,5,124,24.8,0,0,0,,0
4,2017-09-23,Oklahoma State,,Texas Christian,L,6,153,25.5,1,0,0,,0
5,2017-09-30,Oklahoma State,@,Texas Tech,W,9,127,14.1,1,0,0,,0
6,2017-10-14,Oklahoma State,,Baylor,W,6,235,39.2,1,1,2,2.0,1
7,2017-10-21,Oklahoma State,@,Texas,W,4,32,8.0,0,0,0,,0
8,2017-10-28,Oklahoma State,@,West Virginia,W,7,91,13.0,2,1,11,11.0,0
9,2017-11-04,Oklahoma State,,Oklahoma,L,7,128,18.3,1,0,0,,0
10,2017-11-11,Oklahoma State,@,Iowa State,W,1,25,25.0,0,0,0,,0
11,2017-11-18,Oklahoma State,,Kansas State,L,8,159,19.9,2,0,0,,0
12,2017-11-25,Oklahoma State,,Kansas,W,8,106,13.3,1,0,0,,0
13,2017-12-28,Oklahoma State,N,Virginia Tech*,W,5,126,25.2,1,0,0,,0
