Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2017-09-02,Georgia,,Appalachian State,W,3,81,27.0,1,0,0,0,0.0,0.0
2,2017-09-09,Georgia,@,Notre Dame,W,2,35,17.5,0,0,0,0,0.0,0.0
3,2017-09-16,Georgia,,Samford,W,1,5,5.0,0,0,0,0,0.0,0.0
4,2017-09-23,Georgia,,Mississippi State,W,2,43,21.5,0,0,0,0,0.0,0.0
5,2017-09-30,Georgia,@,Tennessee,W,3,33,11.0,1,0,0,0,0.0,0.0
6,2017-10-07,Georgia,@,Vanderbilt,W,2,20,10.0,0,0,0,0,0.0,0.0
7,2017-10-14,Georgia,,Missouri,W,5,95,19.0,0,0,0,0,0.0,0.0
8,2017-10-28,Georgia,N,Florida,W,1,17,17.0,1,0,0,0,0.0,0.0
9,2017-11-04,Georgia,,South Carolina,W,5,46,9.2,1,0,0,0,0.0,0.0
10,2017-11-11,Georgia,@,Auburn,L,3,96,32.0,0,0,0,0,0.0,0.0
11,2017-11-18,Georgia,,Kentucky,W,6,83,13.8,1,0,0,0,0.0,0.0
12,2017-11-25,Georgia,@,Georgia Tech,W,5,77,15.4,1,0,0,0,0.0,0.0
13,2018-01-01,Georgia,N,Oklahoma*,W,6,73,12.2,1,0,0,0,0.0,0.0
14,2018-01-08,Georgia,N,Alabama*,L,1,16,16.0,0,1,0,1,0.0,0.0
