Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2017-09-02,Pittsburgh,,Youngstown State,W,1,11,11.0,1,0,0,0,0.0,0.0
2,2017-09-09,Pittsburgh,@,Penn State,L,6,65,10.8,0,0,0,0,0.0,0.0
3,2017-09-23,Pittsburgh,@,Georgia Tech,L,1,8,8.0,0,0,0,0,0.0,0.0
4,2017-09-30,Pittsburgh,,Rice,W,5,137,27.4,1,0,0,0,0.0,0.0
5,2017-10-07,Pittsburgh,@,Syracuse,L,5,57,11.4,0,0,0,0,0.0,0.0
6,2017-10-14,Pittsburgh,,North Carolina State,L,7,106,15.1,1,0,0,0,0.0,0.0
7,2017-10-21,Pittsburgh,@,Duke,W,2,74,37.0,0,0,0,0,0.0,0.0
8,2017-10-28,Pittsburgh,,Virginia,W,2,31,15.5,1,0,0,0,0.0,0.0
9,2017-11-09,Pittsburgh,,North Carolina,L,2,25,12.5,0,1,0,1,0.0,0.0
10,2017-11-18,Pittsburgh,@,Virginia Tech,L,4,104,26.0,0,0,0,0,0.0,0.0
11,2017-11-24,Pittsburgh,,Miami (FL),W,6,80,13.3,0,0,0,0,0.0,0.0
