Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2017-09-03,West Virginia,N,Virginia Tech,L,4,74,18.5,0,0,0,0,0.0,0.0
2,2017-09-09,West Virginia,,East Carolina,W,4,49,12.3,1,0,0,0,0.0,0.0
3,2017-09-16,West Virginia,,Delaware State,W,6,50,8.3,1,0,0,0,0.0,0.0
4,2017-09-23,West Virginia,@,Kansas,W,3,36,12.0,0,0,0,0,0.0,0.0
5,2017-10-07,West Virginia,@,Texas Christian,L,6,138,23.0,1,0,0,0,0.0,0.0
6,2017-10-14,West Virginia,,Texas Tech,W,8,114,14.3,2,0,0,0,0.0,0.0
7,2017-10-21,West Virginia,@,Baylor,W,4,33,8.3,1,0,0,0,0.0,0.0
8,2017-10-28,West Virginia,,Oklahoma State,L,4,78,19.5,1,1,0,1,0.0,0.0
9,2017-11-04,West Virginia,,Iowa State,W,4,167,41.8,1,0,0,0,0.0,0.0
10,2017-11-11,West Virginia,@,Kansas State,W,8,168,21.0,2,0,0,0,0.0,0.0
11,2017-11-18,West Virginia,,Texas,L,6,63,10.5,1,0,0,0,0.0,0.0
12,2017-11-25,West Virginia,@,Oklahoma,L,1,8,8.0,0,0,0,0,0.0,0.0
13,2017-12-26,West Virginia,N,Utah*,L,3,26,8.7,1,0,0,0,0.0,0.0
