Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD
1,2017-09-02,Texas Tech,,Eastern Washington,W,5,99,19.8,2,0,0,,0,0,0,,0
2,2017-09-16,Texas Tech,,Arizona State,W,12,186,15.5,1,0,0,,0,0,0,,0
3,2017-09-23,Texas Tech,@,Houston,W,11,161,14.6,1,3,2,0.7,0,2,36,18.0,0
4,2017-09-30,Texas Tech,,Oklahoma State,L,3,53,17.7,0,1,11,11.0,0,2,50,25.0,0
5,2017-10-07,Texas Tech,@,Kansas,W,8,87,10.9,1,0,0,,0,0,0,,0
6,2017-10-14,Texas Tech,@,West Virginia,L,6,86,14.3,1,0,0,,0,0,0,,0
7,2017-10-21,Texas Tech,,Iowa State,L,8,72,9.0,0,0,0,,0,0,0,,0
8,2017-10-28,Texas Tech,@,Oklahoma,L,4,93,23.3,1,0,0,,0,0,0,,0
9,2017-11-04,Texas Tech,,Kansas State,L,12,189,15.8,2,0,0,,0,0,0,,0
10,2017-11-11,Texas Tech,N,Baylor,W,2,38,19.0,0,0,0,,0,1,92,92.0,1
11,2017-11-18,Texas Tech,,Texas Christian,L,2,10,5.0,0,0,0,,0,2,53,26.5,0
12,2017-11-24,Texas Tech,@,Texas,W,9,168,18.7,0,0,0,,0,1,22,22.0,0
13,2017-12-23,Texas Tech,N,South Florida*,L,11,187,17.0,1,1,2,2.0,0,2,62,31.0,0
