Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD
1,2017-08-31,Oklahoma State,,Tulsa,W,4,75,18.8,0
2,2017-09-08,Oklahoma State,@,South Alabama,W,5,51,10.2,2
3,2017-09-16,Oklahoma State,@,Pittsburgh,W,4,109,27.3,1
4,2017-09-23,Oklahoma State,,Texas Christian,L,6,100,16.7,0
5,2017-09-30,Oklahoma State,@,Texas Tech,W,6,114,19.0,0
6,2017-10-14,Oklahoma State,,Baylor,W,4,119,29.8,1
7,2017-10-21,Oklahoma State,@,Texas,W,4,87,21.8,0
8,2017-10-28,Oklahoma State,@,West Virginia,W,1,13,13.0,0
9,2017-11-04,Oklahoma State,,Oklahoma,L,6,64,10.7,2
10,2017-11-11,Oklahoma State,@,Iowa State,W,4,97,24.3,2
11,2017-11-18,Oklahoma State,,Kansas State,L,6,113,18.8,0
12,2017-11-25,Oklahoma State,,Kansas,W,4,107,26.8,0
13,2017-12-28,Oklahoma State,N,Virginia Tech*,W,5,107,21.4,0
