Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk,FR,Yds,TD,FF
1,2017-09-02,Washington State,,Montana State,W,4,16,4.0,1,0,0,0,0.0,0.0,0,,,0
2,2017-09-09,Washington State,,Boise State,W,8,66,8.3,0,0,0,0,0.0,0.0,0,,,0
3,2017-09-16,Washington State,,Oregon State,W,10,194,19.4,3,1,1,2,0.0,0.0,0,,,0
4,2017-09-23,Washington State,,Nevada,W,4,114,28.5,2,1,0,1,0.0,0.0,0,,,0
5,2017-09-29,Washington State,,Southern California,W,6,55,9.2,1,1,0,1,0.0,0.0,0,,,0
6,2017-10-07,Washington State,@,Oregon,W,2,19,9.5,0,0,0,0,0.0,0.0,0,,,0
7,2017-10-13,Washington State,@,California,L,3,38,12.7,0,0,0,0,0.0,0.0,0,,,0
8,2017-10-28,Washington State,@,Arizona,L,11,136,12.4,0,1,0,1,0.0,0.0,1,,,0
9,2017-11-04,Washington State,,Stanford,W,7,67,9.6,1,0,0,0,0.0,0.0,0,,,0
10,2017-11-11,Washington State,@,Utah,W,10,64,6.4,1,0,0,0,0.0,0.0,0,,,0
11,2017-11-25,Washington State,@,Washington,L,5,62,12.4,0,0,0,0,0.0,0.0,0,,,0
