Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2017-09-02,Clemson,,Kent State,W,3,24,8.0,0,0,0,,0,0,0,,0,2,14,7.0,0,0,0,0,0.0,0.0
2,2017-09-09,Clemson,,Auburn,W,6,81,13.5,0,0,0,,0,0,0,,0,4,17,4.3,0,0,0,0,0.0,0.0
3,2017-09-16,Clemson,@,Louisville,W,7,115,16.4,1,0,0,,0,0,0,,0,3,9,3.0,0,0,0,0,0.0,0.0
4,2017-09-23,Clemson,,Boston College,W,2,-2,-1.0,0,0,0,,0,0,0,,0,2,54,27.0,0,0,0,0,0.0,0.0
5,2017-09-30,Clemson,@,Virginia Tech,W,3,35,11.7,0,1,2,2.0,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0
6,2017-10-07,Clemson,,Wake Forest,W,5,38,7.6,0,0,0,,0,0,0,,0,4,58,14.5,0,0,0,0,0.0,0.0
7,2017-10-13,Clemson,@,Syracuse,L,4,23,5.8,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0
8,2017-10-28,Clemson,,Georgia Tech,W,4,40,10.0,0,0,0,,0,1,12,12.0,0,1,1,1.0,0,0,0,0,0.0,0.0
9,2017-11-04,Clemson,@,North Carolina State,W,0,0,,0,0,0,,0,0,0,,0,2,88,44.0,1,1,0,1,0.0,0.0
10,2017-11-11,Clemson,,Florida State,W,1,4,4.0,0,0,0,,0,0,0,,0,3,47,15.7,0,0,0,0,0.0,0.0
11,2017-11-18,Clemson,,Citadel,W,2,28,14.0,0,0,0,,0,0,0,,0,2,-4,-2.0,0,0,0,0,0.0,0.0
12,2017-11-25,Clemson,@,South Carolina,W,3,16,5.3,0,2,22,11.0,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0
13,2017-12-02,Clemson,N,Miami (FL),W,6,100,16.7,0,3,6,2.0,0,0,0,,0,2,19,9.5,0,2,0,2,0.0,0.0
14,2018-01-01,Clemson,N,Alabama*,L,3,1,0.3,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0
