Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2017-09-09,Alabama,,Fresno State,W,2,23,11.5,0,0,0,,0,0,0,0,0.0,0.0
2,2017-09-16,Alabama,,Colorado State,W,1,52,52.0,1,0,0,,0,0,0,0,0.0,0.0
3,2017-09-23,Alabama,@,Vanderbilt,W,1,-5,-5.0,0,0,0,,0,0,0,0,0.0,0.0
4,2017-09-30,Alabama,,Mississippi,W,2,25,12.5,0,0,0,,0,0,0,0,0.0,0.0
5,2017-10-07,Alabama,@,Texas A&M,W,1,1,1.0,0,0,0,,0,0,0,0,0.0,0.0
6,2017-11-04,Alabama,,Louisiana State,W,2,23,11.5,0,0,0,,0,0,0,0,0.0,0.0
7,2017-11-11,Alabama,@,Mississippi State,W,0,0,,0,0,0,,0,0,1,1,0.0,0.0
8,2017-11-18,Alabama,,Mercer,W,1,24,24.0,0,0,0,,0,0,0,0,0.0,0.0
9,2017-11-25,Alabama,@,Auburn,L,1,3,3.0,0,1,12,12.0,0,0,0,0,0.0,0.0
10,2018-01-08,Alabama,N,Georgia*,W,3,28,9.3,0,0,0,,0,0,0,0,0.0,0.0
