Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2017-08-31,Indiana,,Ohio State,L,11,149,13.5,1,0,0,0,0.0,0.0
2,2017-09-09,Indiana,@,Virginia,W,5,62,12.4,1,0,0,0,0.0,0.0
3,2017-09-23,Indiana,,Georgia Southern,W,2,17,8.5,0,0,0,0,0.0,0.0
4,2017-09-30,Indiana,@,Penn State,L,5,44,8.8,1,0,0,0,0.0,0.0
5,2017-10-07,Indiana,,Charleston Southern,W,10,98,9.8,0,0,0,0,0.0,0.0
6,2017-10-14,Indiana,,Michigan,L,4,39,9.8,0,0,0,0,0.0,0.0
7,2017-10-21,Indiana,@,Michigan State,L,7,53,7.6,0,0,0,0,0.0,0.0
8,2017-10-28,Indiana,@,Maryland,L,10,138,13.8,2,0,0,0,0.0,0.0
9,2017-11-04,Indiana,,Wisconsin,L,5,62,12.4,1,0,0,0,0.0,0.0
10,2017-11-11,Indiana,@,Illinois,W,4,54,13.5,1,1,0,1,0.0,0.0
11,2017-11-18,Indiana,,Rutgers,W,2,20,10.0,0,0,0,0,0.0,0.0
12,2017-11-25,Indiana,@,Purdue,L,7,105,15.0,1,0,0,0,0.0,0.0
