Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD
1,2017-09-02,Southern California,,Western Michigan,W,4,39,9.8,0,0,0,,0
2,2017-09-09,Southern California,,Stanford,W,4,94,23.5,2,0,0,,0
3,2017-09-16,Southern California,,Texas,W,6,90,15.0,0,0,0,,0
4,2017-10-07,Southern California,,Oregon State,W,4,46,11.5,0,0,0,,0
5,2017-10-14,Southern California,,Utah,W,5,64,12.8,0,0,0,,0
6,2017-10-21,Southern California,@,Notre Dame,L,7,71,10.1,1,0,0,,0
7,2017-11-04,Southern California,,Arizona,W,1,27,27.0,1,0,0,,0
8,2017-11-11,Southern California,@,Colorado,W,4,91,22.8,0,0,0,,0
9,2017-11-18,Southern California,,UCLA,W,4,56,14.0,0,1,10,10.0,0
10,2017-12-01,Southern California,N,Stanford,W,2,66,33.0,0,0,0,,0
