Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD
1,2018-09-01,Mississippi,N,Texas Tech,W,7,93,13.3,1
2,2018-09-08,Mississippi,,Southern Illinois,W,8,158,19.8,2
3,2018-09-15,Mississippi,,Alabama,L,4,34,8.5,0
4,2018-09-22,Mississippi,,Kent State,W,7,96,13.7,0
5,2018-09-29,Mississippi,@,Louisiana State,L,9,72,8.0,0
6,2018-10-06,Mississippi,,Louisiana-Monroe,W,9,133,14.8,1
7,2018-10-13,Mississippi,@,Arkansas,W,6,64,10.7,0
8,2018-10-20,Mississippi,,Auburn,L,10,155,15.5,1
9,2018-11-03,Mississippi,,South Carolina,L,6,115,19.2,0
10,2018-11-10,Mississippi,@,Texas A&M,L,6,127,21.2,0
11,2018-11-17,Mississippi,@,Vanderbilt,L,9,212,23.6,1
12,2018-11-22,Mississippi,,Mississippi State,L,4,61,15.3,0
