Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2018-09-01,Texas Tech,N,Mississippi,L,6,65,10.8,0,0,0,,0,0,0,0,0.0,0.0
2,2018-09-08,Texas Tech,,Lamar,W,4,87,21.8,1,0,0,,0,0,0,0,0.0,0.0
3,2018-09-15,Texas Tech,,Houston,W,13,261,20.1,3,0,0,,0,0,0,0,0.0,0.0
4,2018-09-22,Texas Tech,@,Oklahoma State,W,7,98,14.0,0,1,-2,-2.0,0,0,0,0,0.0,0.0
5,2018-09-29,Texas Tech,,West Virginia,L,8,110,13.8,1,0,0,,0,0,0,0,0.0,0.0
6,2018-10-11,Texas Tech,@,Texas Christian,W,3,82,27.3,0,0,0,,0,0,0,0,0.0,0.0
7,2018-10-20,Texas Tech,,Kansas,W,9,155,17.2,1,0,0,,0,0,0,0,0.0,0.0
8,2018-10-27,Texas Tech,@,Iowa State,L,8,119,14.9,1,0,0,,0,0,0,0,0.0,0.0
9,2018-11-03,Texas Tech,,Oklahoma,L,12,199,16.6,0,0,0,,0,1,0,1,0.0,0.0
10,2018-11-10,Texas Tech,,Texas,L,8,171,21.4,2,0,0,,0,0,0,0,0.0,0.0
11,2018-11-17,Texas Tech,@,Kansas State,L,6,28,4.7,0,0,0,,0,0,0,0,0.0,0.0
12,2018-11-24,Texas Tech,N,Baylor,L,4,35,8.8,0,0,0,,0,1,0,1,0.0,0.0
