Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2018-09-01,Mississippi,N,Texas Tech,W,6,96,16.0,0,0,0,0,0.0,0.0
2,2018-09-15,Mississippi,,Alabama,L,1,7,7.0,0,1,0,1,0.0,0.0
3,2018-09-22,Mississippi,,Kent State,W,6,81,13.5,0,0,0,0,0.0,0.0
4,2018-09-29,Mississippi,@,Louisiana State,L,3,23,7.7,0,0,0,0,0.0,0.0
5,2018-10-06,Mississippi,,Louisiana-Monroe,W,9,179,19.9,1,0,0,0,0.0,0.0
6,2018-10-13,Mississippi,@,Arkansas,W,10,80,8.0,1,0,0,0,0.0,0.0
7,2018-10-20,Mississippi,,Auburn,L,5,84,16.8,0,0,0,0,0.0,0.0
8,2018-11-03,Mississippi,,South Carolina,L,7,34,4.9,0,0,0,0,0.0,0.0
9,2018-11-10,Mississippi,@,Texas A&M,L,6,122,20.3,1,0,0,0,0.0,0.0
10,2018-11-17,Mississippi,@,Vanderbilt,L,9,117,13.0,1,0,0,0,0.0,0.0
11,2018-11-22,Mississippi,,Mississippi State,L,3,54,18.0,0,1,0,1,0.0,0.0
