Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Ret,Yds,Avg,TD
1,2018-09-01,Auburn,N,Washington,W,3,41,13.7,0,0,0,,0
2,2018-09-15,Auburn,,Louisiana State,L,3,33,11.0,1,0,0,,0
3,2018-09-22,Auburn,,Arkansas,W,2,23,11.5,0,0,0,,0
4,2018-09-29,Auburn,,Southern Mississippi,W,5,91,18.2,0,0,0,,0
5,2018-10-06,Auburn,@,Mississippi State,L,4,58,14.5,0,0,0,,0
6,2018-10-13,Auburn,,Tennessee,L,2,24,12.0,0,0,0,,0
7,2018-10-20,Auburn,@,Mississippi,W,2,62,31.0,0,1,-11,-11.0,0
8,2018-11-03,Auburn,,Texas A&M,W,8,107,13.4,0,0,0,,0
9,2018-11-10,Auburn,@,Georgia,L,1,8,8.0,0,0,0,,0
10,2018-11-24,Auburn,@,Alabama,L,2,63,31.5,1,0,0,,0
11,2018-12-28,Auburn,N,Purdue*,W,3,160,53.3,3,0,0,,0
