Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Ret,Yds,Avg,TD
1,2018-09-01,West Virginia,N,Tennessee,W,7,140,20.0,2,0,0,,0
2,2018-09-08,West Virginia,,Youngstown State,W,2,33,16.5,0,0,0,,0
3,2018-09-22,West Virginia,,Kansas State,W,10,73,7.3,3,0,0,,0
4,2018-09-29,West Virginia,@,Texas Tech,W,4,48,12.0,0,0,0,,0
5,2018-10-06,West Virginia,,Kansas,W,7,74,10.6,1,0,0,,0
6,2018-10-13,West Virginia,@,Iowa State,L,2,22,11.0,1,0,0,,0
7,2018-10-25,West Virginia,,Baylor,W,5,139,27.8,2,0,0,,0
8,2018-11-03,West Virginia,@,Texas,W,6,97,16.2,2,1,0,0.0,0
9,2018-11-10,West Virginia,,Texas Christian,W,6,71,11.8,1,1,1,1.0,0
10,2018-11-17,West Virginia,@,Oklahoma State,L,4,68,17.0,1,0,0,,0
11,2018-11-23,West Virginia,,Oklahoma,L,8,131,16.4,2,0,0,,0
12,2018-12-28,West Virginia,N,Syracuse*,L,4,90,22.5,0,1,-1,-1.0,0
