Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Cmp,Att,Pct,Yds,TD,Int,Rate,Ret,Yds,Avg,TD,FR,Yds,TD,FF
1,2018-09-01,South Carolina,,Coastal Carolina,W,7,56,8.0,1,1,11,11.0,0,0,0,,0,0,0,,2,45,22.5,0,0,,,0
2,2018-09-08,South Carolina,,Georgia,L,6,33,5.5,0,1,-1,-1.0,0,1,1,100.0,13,1,0,539.2,0,0,,0,0,,,0
3,2018-09-22,South Carolina,@,Vanderbilt,W,7,56,8.0,0,0,0,,0,0,0,,0,0,0,,1,34,34.0,0,0,,,0
4,2018-09-29,South Carolina,@,Kentucky,L,2,61,30.5,1,0,0,,0,0,0,,0,0,0,,1,16,16.0,0,0,,,0
5,2018-10-06,South Carolina,,Missouri,W,4,88,22.0,1,2,3,1.5,0,0,0,,0,0,0,,2,38,19.0,0,0,,,0
6,2018-10-13,South Carolina,,Texas A&M,L,7,88,12.6,1,0,0,,0,0,0,,0,0,0,,2,32,16.0,0,0,,,0
7,2018-10-27,South Carolina,,Tennessee,W,3,8,2.7,1,2,8,4.0,0,0,0,,0,0,0,,3,84,28.0,0,0,,,0
8,2018-11-03,South Carolina,@,Mississippi,W,3,17,5.7,0,0,0,,0,0,0,,0,0,0,,5,178,35.6,1,0,,,0
9,2018-11-10,South Carolina,@,Florida,L,4,120,30.0,0,1,3,3.0,0,0,0,,0,0,0,,4,78,19.5,0,1,,,0
10,2018-11-17,South Carolina,,Chattanooga,W,5,112,22.4,1,1,2,2.0,0,0,0,,0,0,0,,0,0,,0,0,,,0
11,2018-11-24,South Carolina,@,Clemson,L,10,210,21.0,3,0,0,,0,0,0,,0,0,0,,2,37,18.5,0,0,,,0
12,2018-12-01,South Carolina,,Akron,W,4,33,8.3,2,0,0,,0,0,0,,0,0,0,,1,28,28.0,0,1,,1,0
