Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD
1,2018-09-01,Oregon,,Bowling Green State,W,3,26,8.7,1,0,0,,0,0,0,,0
2,2018-09-08,Oregon,,Portland State,W,2,55,27.5,0,0,0,,0,2,10,5.0,0
3,2018-09-15,Oregon,,San Jose State,W,1,17,17.0,0,0,0,,0,0,0,,0
4,2018-09-22,Oregon,,Stanford,L,14,239,17.1,0,0,0,,0,0,0,,0
5,2018-09-29,Oregon,@,California,W,7,105,15.0,1,0,0,,0,0,0,,0
6,2018-10-13,Oregon,,Washington,W,8,119,14.9,1,0,0,,0,1,0,0.0,0
7,2018-10-20,Oregon,@,Washington State,L,7,47,6.7,0,1,5,5.0,0,0,0,,0
8,2018-10-27,Oregon,@,Arizona,L,6,69,11.5,1,0,0,,0,0,0,,0
9,2018-11-03,Oregon,,UCLA,W,8,156,19.5,2,0,0,,0,0,0,,0
10,2018-11-10,Oregon,@,Utah,L,8,169,21.1,2,0,0,,0,0,0,,0
11,2018-11-17,Oregon,,Arizona State,W,4,103,25.8,1,0,0,,0,0,0,,0
12,2018-11-23,Oregon,@,Oregon State,W,1,9,9.0,0,0,0,,0,0,0,,0
13,2018-12-31,Oregon,N,Michigan State*,W,6,70,11.7,1,0,0,,0,0,0,,0
