Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD
1,2018-09-01,West Virginia,N,Tennessee,W,6,113,18.8,1
2,2018-09-08,West Virginia,,Youngstown State,W,6,97,16.2,3
3,2018-09-22,West Virginia,,Kansas State,W,3,31,10.3,0
4,2018-09-29,West Virginia,@,Texas Tech,W,7,70,10.0,2
5,2018-10-06,West Virginia,,Kansas,W,4,53,13.3,0
6,2018-10-13,West Virginia,@,Iowa State,L,4,38,9.5,0
7,2018-10-25,West Virginia,,Baylor,W,3,100,33.3,2
8,2018-11-03,West Virginia,@,Texas,W,2,40,20.0,1
9,2018-11-10,West Virginia,,Texas Christian,W,5,58,11.6,1
10,2018-11-17,West Virginia,@,Oklahoma State,L,7,92,13.1,1
11,2018-11-23,West Virginia,,Oklahoma,L,7,225,32.1,2
