Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2018-09-08,Iowa State,@,Iowa,L,3,35,11.7,0,0,0,,0,0,0,0,0.0,0.0
2,2018-09-15,Iowa State,,Oklahoma,L,5,174,34.8,2,0,0,,0,0,0,0,0.0,0.0
3,2018-09-22,Iowa State,,Akron,W,6,88,14.7,1,0,0,,0,0,0,0,0.0,0.0
4,2018-09-29,Iowa State,@,Texas Christian,L,2,14,7.0,0,0,0,,0,0,0,0,0.0,0.0
5,2018-10-06,Iowa State,@,Oklahoma State,W,2,61,30.5,1,1,0,0.0,0,0,0,0,0.0,0.0
6,2018-10-13,Iowa State,,West Virginia,W,6,107,17.8,1,0,0,,0,1,0,1,0.0,0.0
7,2018-10-27,Iowa State,,Texas Tech,W,4,148,37.0,1,0,0,,0,0,0,0,0.0,0.0
8,2018-11-03,Iowa State,@,Kansas,W,5,164,32.8,2,0,0,,0,0,0,0,0.0,0.0
9,2018-11-10,Iowa State,,Baylor,W,3,25,8.3,0,0,0,,0,0,0,0,0.0,0.0
10,2018-11-17,Iowa State,@,Texas,L,6,99,16.5,0,0,0,,0,0,0,0,0.0,0.0
11,2018-11-24,Iowa State,,Kansas State,W,5,144,28.8,1,0,0,,0,0,0,0,0.0,0.0
12,2018-12-01,Iowa State,,Drake,W,4,67,16.8,0,0,0,,0,0,0,0,0.0,0.0
13,2018-12-28,Iowa State,N,Washington State*,L,9,192,21.3,0,0,0,,0,0,0,0,0.0,0.0
