Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD
1,2018-08-31,Stanford,,San Diego State,W,6,226,37.7,3
2,2018-09-08,Stanford,,Southern California,W,4,62,15.5,0
3,2018-09-15,Stanford,,California-Davis,W,3,36,12.0,2
4,2018-09-22,Stanford,@,Oregon,W,4,84,21.0,2
5,2018-09-29,Stanford,@,Notre Dame,L,5,30,6.0,1
6,2018-10-06,Stanford,,Utah,L,8,103,12.9,0
7,2018-10-18,Stanford,@,Arizona State,W,7,91,13.0,1
8,2018-10-27,Stanford,,Washington State,L,10,111,11.1,2
9,2018-11-03,Stanford,@,Washington,L,1,11,11.0,0
10,2018-11-24,Stanford,@,UCLA,W,7,106,15.1,3
11,2018-12-01,Stanford,@,California,W,5,109,21.8,0
12,2018-12-31,Stanford,N,Pittsburgh*,W,3,90,30.0,0
