Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk,FR,Yds,TD,FF
1,2018-09-01,Baylor,,Abilene Christian,W,4,58,14.5,1,0,0,,0,1,13,13.0,0,0,0,0,0.0,0.0,0,,,0
2,2018-09-08,Baylor,@,Texas-San Antonio,W,8,136,17.0,1,0,0,,0,0,0,,0,0,0,0,0.0,0.0,0,,,0
3,2018-09-15,Baylor,,Duke,L,6,57,9.5,0,1,12,12.0,0,1,0,0.0,0,0,0,0,0.0,0.0,0,,,0
4,2018-09-22,Baylor,,Kansas,W,4,60,15.0,0,4,19,4.8,0,0,0,,0,0,0,0,0.0,0.0,0,,,0
5,2018-09-29,Baylor,@,Oklahoma,L,9,104,11.6,1,6,12,2.0,1,0,0,,0,0,0,0,0.0,0.0,0,,,0
6,2018-10-06,Baylor,,Kansas State,W,11,135,12.3,0,8,56,7.0,1,0,0,,0,0,0,0,0.0,0.0,0,,,0
7,2018-10-13,Baylor,@,Texas,L,5,72,14.4,0,6,13,2.2,1,0,0,,0,0,0,0,0.0,0.0,0,,,0
8,2018-10-25,Baylor,@,West Virginia,L,3,38,12.7,0,2,20,10.0,0,0,0,,0,0,0,0,0.0,0.0,0,,,0
9,2018-11-03,Baylor,,Oklahoma State,W,7,96,13.7,1,9,27,3.0,0,0,0,,0,0,0,0,0.0,0.0,1,,,0
10,2018-11-10,Baylor,@,Iowa State,L,5,81,16.2,0,8,46,5.8,0,0,0,,0,0,0,0,0.0,0.0,0,,,0
11,2018-11-17,Baylor,,Texas Christian,L,4,68,17.0,0,4,4,1.0,0,0,0,,0,1,0,1,0.0,0.0,0,,,0
12,2018-11-24,Baylor,N,Texas Tech,W,3,41,13.7,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0,0,,,0
