Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk,FR,Yds,TD,FF
1,2018-08-31,Syracuse,@,Western Michigan,W,6,168,28.0,2,0,0,,0,0,0,0,0.0,0.0,0,,,0
2,2018-09-08,Syracuse,,Wagner,W,5,41,8.2,1,0,0,,0,0,0,0,0.0,0.0,0,,,0
3,2018-09-15,Syracuse,,Florida State,W,4,56,14.0,0,0,0,,0,0,0,0,0.0,0.0,0,,,0
4,2018-09-22,Syracuse,,Connecticut,W,2,22,11.0,0,0,0,,0,0,0,0,0.0,0.0,0,,,0
5,2018-09-29,Syracuse,@,Clemson,L,5,73,14.6,0,0,0,,0,1,0,1,0.0,0.0,1,,,0
6,2018-10-06,Syracuse,@,Pittsburgh,L,3,70,23.3,0,0,0,,0,1,0,1,0.0,0.0,0,,,0
7,2018-10-20,Syracuse,,North Carolina,W,7,162,23.1,1,0,0,,0,0,0,0,0.0,0.0,0,,,0
8,2018-10-27,Syracuse,,North Carolina State,W,3,80,26.7,1,0,0,,0,0,0,0,0.0,0.0,0,,,0
9,2018-11-03,Syracuse,@,Wake Forest,W,5,62,12.4,0,0,0,,0,1,0,1,0.0,0.0,0,,,0
10,2018-11-09,Syracuse,,Louisville,W,2,14,7.0,0,0,0,,0,0,0,0,0.0,0.0,0,,,0
11,2018-11-17,Syracuse,N,Notre Dame,L,1,10,10.0,0,0,0,,0,0,0,0,0.0,0.0,0,,,0
12,2018-11-24,Syracuse,@,Boston College,W,3,68,22.7,1,1,-5,-5.0,0,0,0,0,0.0,0.0,0,,,0
13,2018-12-28,Syracuse,N,West Virginia*,W,5,80,16.0,0,0,0,,0,0,0,0,0.0,0.0,0,,,0
