Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2018-09-01,North Carolina State,,James Madison,W,4,33,8.3,0,0,0,0,0.0,0.0
2,2018-09-08,North Carolina State,,Georgia State,W,8,129,16.1,0,0,0,0,0.0,0.0
3,2018-09-22,North Carolina State,@,Marshall,W,6,150,25.0,0,0,0,0,0.0,0.0
4,2018-09-29,North Carolina State,,Virginia,W,6,94,15.7,1,0,0,0,0.0,0.0
5,2018-10-06,North Carolina State,,Boston College,W,9,128,14.2,1,0,0,0,0.0,0.0
6,2018-10-20,North Carolina State,@,Clemson,L,2,13,6.5,0,0,1,1,0.0,0.0
7,2018-10-27,North Carolina State,@,Syracuse,L,11,247,22.5,2,0,0,0,0.0,0.0
8,2018-11-03,North Carolina State,,Florida State,W,4,37,9.3,1,0,0,0,0.0,0.0
9,2018-11-08,North Carolina State,,Wake Forest,L,15,134,8.9,0,0,0,0,0.0,0.0
10,2018-11-17,North Carolina State,@,Louisville,W,7,100,14.3,1,0,0,0,0.0,0.0
11,2018-11-24,North Carolina State,@,North Carolina,W,3,54,18.0,0,0,0,0,0.0,0.0
12,2018-12-01,North Carolina State,,East Carolina,W,6,67,11.2,1,0,0,0,0.0,0.0
