Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Cmp,Att,Pct,Yds,TD,Int,Rate,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2018-09-01,Texas,N,Maryland,L,6,82,13.7,0,0,0,,0,0,0,,0,0,0,,2,51,25.5,0,1,0,1,0.0,0.0
2,2018-09-08,Texas,,Tulsa,W,7,109,15.6,1,2,19,9.5,0,0,0,,0,0,0,,0,0,,0,0,0,0,0.0,0.0
3,2018-09-15,Texas,,Southern California,W,4,84,21.0,1,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,0,0.0,0.0
4,2018-09-22,Texas,,Texas Christian,W,4,77,19.3,1,1,1,1.0,0,0,0,,0,0,0,,0,0,,0,0,0,0,0.0,0.0
5,2018-09-29,Texas,@,Kansas State,W,5,50,10.0,0,0,0,,0,0,1,0.0,0,0,0,0.0,0,0,,0,0,0,0,0.0,0.0
6,2018-10-06,Texas,N,Oklahoma,W,9,133,14.8,1,0,0,,0,2,2,100.0,10,1,0,307.0,0,0,,0,0,0,0,0.0,0.0
7,2018-10-13,Texas,,Baylor,W,7,41,5.9,0,2,3,1.5,1,0,0,,0,0,0,,0,0,,0,0,0,0,0.0,0.0
8,2018-10-27,Texas,@,Oklahoma State,L,4,69,17.3,0,1,2,2.0,0,0,0,,0,0,0,,0,0,,0,0,0,0,0.0,0.0
9,2018-11-03,Texas,,West Virginia,L,9,143,15.9,1,0,0,,0,0,0,,0,0,0,,4,84,21.0,0,0,0,0,0.0,0.0
10,2018-11-10,Texas,@,Texas Tech,W,8,159,19.9,2,0,0,,0,0,0,,0,0,0,,1,13,13.0,0,0,0,0,0.0,0.0
11,2018-11-17,Texas,,Iowa State,W,7,86,12.3,1,0,0,,0,0,0,,0,0,0,,2,45,22.5,0,0,0,0,0.0,0.0
12,2018-11-23,Texas,@,Kansas,W,2,25,12.5,0,0,0,,0,0,0,,0,0,0,,0,0,,0,1,0,1,0.0,0.0
13,2018-12-01,Texas,N,Oklahoma,L,7,51,7.3,1,0,0,,0,0,0,,0,0,0,,1,22,22.0,0,0,0,0,0.0,0.0
14,2019-01-01,Texas,N,Georgia*,W,7,67,9.6,0,0,0,,0,1,1,100.0,8,0,0,167.2,0,0,,0,0,0,0,0.0,0.0
