Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD
1,2018-09-01,Oklahoma,,Florida Atlantic,W,6,133,22.2,1,0,0,,0
2,2018-09-08,Oklahoma,,UCLA,W,4,88,22.0,1,0,0,,0
3,2018-09-15,Oklahoma,@,Iowa State,W,9,191,21.2,1,0,0,,0
4,2018-09-29,Oklahoma,,Baylor,W,5,132,26.4,2,0,0,,0
5,2018-10-06,Oklahoma,N,Texas,L,9,131,14.6,2,0,0,,0
6,2018-10-20,Oklahoma,@,Texas Christian,W,5,41,8.2,0,0,0,,0
7,2018-10-27,Oklahoma,,Kansas State,W,2,22,11.0,0,0,0,,0
8,2018-11-03,Oklahoma,@,Texas Tech,W,5,76,15.2,0,1,0,0.0,0
9,2018-11-10,Oklahoma,,Oklahoma State,W,8,142,17.8,1,1,0,0.0,0
10,2018-11-17,Oklahoma,,Kansas,W,6,65,10.8,0,0,0,,0
11,2018-11-23,Oklahoma,@,West Virginia,W,11,243,22.1,2,0,0,,0
12,2018-12-01,Oklahoma,N,Texas,W,5,54,10.8,0,0,0,,0
