Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2018-09-01,Notre Dame,,Michigan,W,1,28,28.0,0,0,0,0,0.0,0.0
2,2018-09-08,Notre Dame,,Ball State,W,6,119,19.8,0,2,0,2,0.0,0.0
3,2018-09-15,Notre Dame,,Vanderbilt,W,1,14,14.0,0,0,0,0,0.0,0.0
4,2018-09-22,Notre Dame,@,Wake Forest,W,1,6,6.0,0,0,0,0,0.0,0.0
5,2018-09-29,Notre Dame,,Stanford,W,11,144,13.1,1,0,0,0,0.0,0.0
6,2018-10-06,Notre Dame,@,Virginia Tech,W,8,117,14.6,2,0,0,0,0.0,0.0
7,2018-10-13,Notre Dame,,Pittsburgh,W,4,84,21.0,1,0,0,0,0.0,0.0
8,2018-10-27,Notre Dame,N,Navy,W,4,58,14.5,2,0,0,0,0.0,0.0
9,2018-11-03,Notre Dame,@,Northwestern,W,4,54,13.5,1,0,0,0,0.0,0.0
10,2018-11-10,Notre Dame,,Florida State,W,4,30,7.5,1,0,0,0,0.0,0.0
11,2018-11-17,Notre Dame,N,Syracuse,W,7,76,10.9,0,0,0,0,0.0,0.0
12,2018-11-24,Notre Dame,@,Southern California,W,3,73,24.3,0,0,0,0,0.0,0.0
13,2018-12-29,Notre Dame,N,Clemson*,L,5,69,13.8,0,0,0,0,0.0,0.0
