Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Cmp,Att,Pct,Yds,TD,Int,Rate,Ret,Yds,Avg,TD
1,2018-09-01,Arizona State,,Texas-San Antonio,W,6,140,23.3,2,0,0,,0,0,0,,0,0,0,,0,0,,0
2,2018-09-08,Arizona State,,Michigan State,W,6,89,14.8,1,1,2,2.0,0,0,0,,0,0,0,,0,0,,0
3,2018-09-15,Arizona State,@,San Diego State,L,9,86,9.6,1,0,0,,0,0,0,,0,0,0,,0,0,,0
4,2018-09-22,Arizona State,@,Washington,L,5,20,4.0,0,0,0,,0,0,0,,0,0,0,,1,42,42.0,0
5,2018-09-29,Arizona State,,Oregon State,W,5,84,16.8,1,2,2,1.0,1,0,0,,0,0,0,,0,0,,0
6,2018-10-06,Arizona State,@,Colorado,L,3,62,20.7,0,1,2,2.0,0,0,0,,0,0,0,,1,11,11.0,0
7,2018-10-18,Arizona State,,Stanford,L,8,91,11.4,0,0,0,,0,0,1,0.0,0,0,1,-200.0,1,1,1.0,0
8,2018-10-27,Arizona State,@,Southern California,W,4,95,23.8,1,2,5,2.5,0,0,0,,0,0,0,,4,103,25.8,1
9,2018-11-03,Arizona State,,Utah,W,9,161,17.9,3,0,0,,0,0,0,,0,0,0,,0,0,,0
10,2018-11-10,Arizona State,,UCLA,W,7,100,14.3,0,1,-1,-1.0,0,0,0,,0,0,0,,0,0,,0
11,2018-11-17,Arizona State,@,Oregon,L,7,105,15.0,0,0,0,,0,0,0,,0,0,0,,1,0,0.0,0
12,2018-11-24,Arizona State,@,Arizona,W,4,55,13.8,0,0,0,,0,0,0,,0,0,0,,1,-5,-5.0,0
