Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Cmp,Att,Pct,Yds,TD,Int,Rate
1,2018-09-03,Florida State,,Virginia Tech,L,5,52,10.4,0,0,0,,0,0,0,,0,0,0,
2,2018-09-08,Florida State,,Samford,W,6,63,10.5,0,0,0,,0,0,0,,0,0,0,
3,2018-09-15,Florida State,@,Syracuse,L,3,31,10.3,0,0,0,,0,0,1,0.0,0,0,0,0.0
4,2018-09-22,Florida State,,Northern Illinois,W,5,85,17.0,0,2,-5,-2.5,0,0,0,,0,0,0,
5,2018-09-29,Florida State,@,Louisville,W,6,114,19.0,2,3,9,3.0,0,0,0,,0,0,0,
6,2018-10-06,Florida State,@,Miami (FL),L,2,11,5.5,0,0,0,,0,0,0,,0,0,0,
7,2018-10-20,Florida State,,Wake Forest,W,8,131,16.4,1,0,0,,0,0,0,,0,0,0,
8,2018-10-27,Florida State,,Clemson,L,5,49,9.8,0,0,0,,0,0,0,,0,0,0,
9,2018-11-03,Florida State,@,North Carolina State,L,2,35,17.5,0,0,0,,0,0,0,,0,0,0,
10,2018-11-10,Florida State,@,Notre Dame,L,6,79,13.2,0,0,0,,0,0,0,,0,0,0,
11,2018-11-17,Florida State,,Boston College,W,3,59,19.7,0,0,0,,0,0,0,,0,0,0,
12,2018-11-24,Florida State,,Florida,L,3,35,11.7,0,0,0,,0,0,0,,0,0,0,
