Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD
1,2018-09-01,Georgia,,Austin Peay,W,3,33,11.0,1
2,2018-09-08,Georgia,@,South Carolina,W,4,37,9.3,0
3,2018-09-15,Georgia,,Middle Tennessee State,W,1,12,12.0,1
4,2018-09-22,Georgia,@,Missouri,W,5,87,17.4,1
5,2018-09-29,Georgia,,Tennessee,W,4,36,9.0,0
6,2018-10-06,Georgia,,Vanderbilt,W,5,57,11.4,1
7,2018-10-13,Georgia,@,Louisiana State,L,3,75,25.0,1
8,2018-10-27,Georgia,N,Florida,W,2,37,18.5,0
9,2018-11-03,Georgia,@,Kentucky,W,3,37,12.3,0
10,2018-11-10,Georgia,,Auburn,W,1,19,19.0,0
11,2018-11-17,Georgia,,Massachusetts,W,1,11,11.0,1
12,2018-11-24,Georgia,,Georgia Tech,W,2,9,4.5,2
13,2018-12-01,Georgia,N,Alabama,L,4,48,12.0,1
14,2019-01-01,Georgia,N,Texas*,L,5,61,12.2,0
