Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Cmp,Att,Pct,Yds,TD,Int,Rate,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2018-09-01,Auburn,N,Washington,W,7,52,7.4,0,1,10,10.0,0,0,0,,0,0,0,,3,42,14.0,0,0,0,0,0.0,0.0
2,2018-09-08,Auburn,,Alabama State,W,3,34,11.3,0,0,0,,0,0,0,,0,0,0,,1,0,0.0,0,0,0,0,0.0,0.0
3,2018-09-15,Auburn,,Louisiana State,L,3,23,7.7,0,0,0,,0,0,0,,0,0,0,,3,24,8.0,0,0,0,0,0.0,0.0
4,2018-09-22,Auburn,,Arkansas,W,6,40,6.7,0,0,0,,0,0,0,,0,0,0,,2,84,42.0,0,0,0,0,0.0,0.0
5,2018-09-29,Auburn,,Southern Mississippi,W,2,12,6.0,0,0,0,,0,0,0,,0,0,0,,2,3,1.5,0,0,0,0,0.0,0.0
6,2018-10-06,Auburn,@,Mississippi State,L,8,91,11.4,0,0,0,,0,0,0,,0,0,0,,2,8,4.0,0,0,0,0,0.0,0.0
7,2018-10-13,Auburn,,Tennessee,L,7,57,8.1,0,1,5,5.0,0,0,0,,0,0,0,,0,0,,0,1,0,1,0.0,0.0
8,2018-10-20,Auburn,@,Mississippi,W,2,12,6.0,0,0,0,,0,0,0,,0,0,0,,1,4,4.0,0,0,0,0,0.0,0.0
9,2018-11-03,Auburn,,Texas A&M,W,5,75,15.0,0,0,0,,0,1,1,100.0,20,1,0,598.0,2,0,0.0,0,0,0,0,0.0,0.0
10,2018-11-10,Auburn,@,Georgia,L,13,72,5.5,0,1,-3,-3.0,0,0,0,,0,0,0,,1,13,13.0,0,0,0,0,0.0,0.0
11,2018-11-17,Auburn,,Liberty,W,4,40,10.0,0,0,0,,0,0,0,,0,0,0,,3,33,11.0,0,0,0,0,0.0,0.0
12,2018-11-24,Auburn,@,Alabama,L,4,15,3.8,0,0,0,,0,1,1,100.0,23,1,0,623.2,1,2,2.0,0,0,0,0,0.0,0.0
13,2018-12-28,Auburn,N,Purdue*,W,5,23,4.6,1,0,0,,0,0,0,,0,0,0,,1,4,4.0,0,0,0,0,0.0,0.0
