Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD
1,2018-09-08,Nebraska,,Colorado,L,5,75,15.0,0,0,0,,0,0,0,,0
2,2018-09-15,Nebraska,,Troy,L,5,64,12.8,1,0,0,,0,0,0,,0
3,2018-09-22,Nebraska,@,Michigan,L,3,61,20.3,0,0,0,,0,0,0,,0
4,2018-09-29,Nebraska,,Purdue,L,4,69,17.3,0,0,0,,0,0,0,,0
5,2018-10-06,Nebraska,@,Wisconsin,L,8,93,11.6,0,0,0,,0,0,0,,0
6,2018-10-13,Nebraska,@,Northwestern,L,2,31,15.5,0,0,0,,0,0,0,,0
7,2018-10-20,Nebraska,,Minnesota,W,10,163,16.3,2,0,0,,0,0,0,,0
8,2018-10-27,Nebraska,,Bethune-Cookman,W,7,82,11.7,2,0,0,,0,0,0,,0
9,2018-11-03,Nebraska,@,Ohio State,L,7,87,12.4,0,1,4,4.0,0,0,0,,0
10,2018-11-10,Nebraska,,Illinois,W,8,131,16.4,2,0,0,,0,0,0,,0
11,2018-11-17,Nebraska,,Michigan State,W,4,67,16.8,0,0,0,,0,3,18,6.0,0
12,2018-11-23,Nebraska,@,Iowa,L,7,81,11.6,0,0,0,,0,1,1,1.0,0
