Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Ret,Yds,Avg,TD
1,2018-09-08,Georgia,@,South Carolina,W,1,12,12.0,0,0,0,,0
2,2018-09-22,Georgia,@,Missouri,W,1,8,8.0,0,0,0,,0
3,2018-09-29,Georgia,,Tennessee,W,2,26,13.0,0,0,0,,0
4,2018-10-06,Georgia,,Vanderbilt,W,2,95,47.5,1,0,0,,0
5,2018-10-13,Georgia,@,Louisiana State,L,1,9,9.0,0,0,0,,0
6,2018-10-27,Georgia,N,Florida,W,1,24,24.0,1,0,0,,0
7,2018-11-03,Georgia,@,Kentucky,W,2,12,6.0,0,0,0,,0
8,2018-11-10,Georgia,,Auburn,W,3,84,28.0,1,0,0,,0
9,2018-11-17,Georgia,,Massachusetts,W,2,16,8.0,0,1,0,0.0,0
10,2018-11-24,Georgia,,Georgia Tech,W,2,30,15.0,0,0,0,,0
11,2018-12-01,Georgia,N,Alabama,L,3,24,8.0,0,0,0,,0
12,2019-01-01,Georgia,N,Texas*,L,3,45,15.0,0,0,0,,0
