Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2018-09-01,Ohio State,,Oregon State,W,4,121,30.3,2,0,0,0,0.0,0.0
2,2018-09-08,Ohio State,,Rutgers,W,1,51,51.0,1,0,0,0,0.0,0.0
3,2018-09-15,Ohio State,N,Texas Christian,W,3,29,9.7,0,0,0,0,0.0,0.0
4,2018-09-22,Ohio State,,Tulane,W,1,17,17.0,1,0,0,0,0.0,0.0
5,2018-10-06,Ohio State,,Indiana,W,4,59,14.8,2,0,0,0,0.0,0.0
6,2018-10-13,Ohio State,,Minnesota,W,3,55,18.3,1,0,0,0,0.0,0.0
7,2018-10-20,Ohio State,@,Purdue,L,5,66,13.2,1,0,0,0,0.0,0.0
8,2018-11-10,Ohio State,@,Michigan State,W,5,63,12.6,0,0,0,0,0.0,0.0
9,2018-11-17,Ohio State,@,Maryland,W,4,118,29.5,1,0,0,0,0.0,0.0
10,2018-11-24,Ohio State,,Michigan,W,1,12,12.0,0,0,0,0,0.0,0.0
11,2018-12-01,Ohio State,N,Northwestern,W,3,78,26.0,2,0,0,0,0.0,0.0
12,2019-01-01,Ohio State,N,Washington*,W,1,32,32.0,0,2,0,2,0.0,0.0
