Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Cmp,Att,Pct,Yds,TD,Int,Rate,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2019-08-31,Washington,,Eastern Washington,W,5,73,14.6,2,0,0,,0,0,0,,0,0,,0,0,0,0,0.0,0.0
2,2019-09-07,Washington,,California,L,3,40,13.3,0,0,0,,0,0,0,,3,21,7.0,0,0,0,0,0.0,0.0
3,2019-09-14,Washington,,Hawaii,W,5,55,11.0,1,0,0,,0,0,0,,1,1,1.0,0,0,0,0,0.0,0.0
4,2019-09-21,Washington,@,Brigham Young,W,8,91,11.4,1,0,0,,0,0,0,,2,86,43.0,1,0,0,0,0.0,0.0
5,2019-09-28,Washington,,Southern California,W,6,68,11.3,0,0,0,,0,0,0,,3,26,8.7,0,0,0,0,0.0,0.0
6,2019-10-05,Washington,@,Stanford,L,9,171,19.0,0,0,0,,0,0,0,,0,0,,0,0,0,0,0.0,0.0
7,2019-10-12,Washington,@,Arizona,W,4,60,15.0,1,0,0,,0,0,0,,4,18,4.5,0,0,0,0,0.0,0.0
8,2019-11-02,Washington,,Utah,L,3,24,8.0,1,0,0,,0,0,0,,1,2,2.0,0,0,0,0,0.0,0.0
9,2019-11-08,Washington,@,Oregon State,W,3,25,8.3,0,0,0,,0,0,0,,3,30,10.0,0,0,0,0,0.0,0.0
10,2019-11-23,Washington,@,Colorado,L,6,43,7.2,0,0,1,0.0,0,0,0,0.0,1,52,52.0,0,0,0,0,0.0,0.0
11,2019-11-29,Washington,,Washington State,W,2,23,11.5,0,0,0,,0,0,0,,2,12,6.0,0,0,0,0,0.0,0.0
12,2019-12-21,Washington,N,Boise State*,W,5,29,5.8,0,0,0,,0,0,0,,2,2,1.0,0,0,1,1,0.5,0.0
