Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2019-08-31,Ohio State,,Florida Atlantic,W,2,21,10.5,0,0,0,0,0.0,0.0
2,2019-09-07,Ohio State,,Cincinnati,W,3,24,8.0,0,0,0,0,0.0,0.0
3,2019-09-14,Ohio State,@,Indiana,W,2,27,13.5,0,1,0,1,0.0,0.0
4,2019-09-28,Ohio State,@,Nebraska,W,3,66,22.0,1,0,0,0,0.0,0.0
5,2019-10-05,Ohio State,,Michigan State,W,1,19,19.0,0,1,0,1,0.0,0.0
6,2019-10-18,Ohio State,@,Northwestern,W,4,50,12.5,1,0,0,0,0.0,0.0
7,2019-11-23,Ohio State,,Penn State,W,2,27,13.5,0,0,0,0,0.0,0.0
8,2019-11-30,Ohio State,@,Michigan,W,3,39,13.0,1,0,0,0,0.0,0.0
9,2019-12-07,Ohio State,N,Wisconsin,W,1,34,34.0,0,0,0,0,0.0,0.0
10,2019-12-28,Ohio State,N,Clemson*,L,6,54,9.0,0,0,0,0,0.0,0.0
