Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD
1,2019-08-31,Ohio State,,Florida Atlantic,W,2,65,32.5,1
2,2019-09-07,Ohio State,,Cincinnati,W,5,69,13.8,0
3,2019-09-14,Ohio State,@,Indiana,W,4,66,16.5,0
4,2019-09-21,Ohio State,,Miami (OH),W,3,42,14.0,1
5,2019-09-28,Ohio State,@,Nebraska,W,1,27,27.0,0
6,2019-10-05,Ohio State,,Michigan State,W,3,79,26.3,1
7,2019-10-18,Ohio State,@,Northwestern,W,1,7,7.0,0
8,2019-11-09,Ohio State,,Maryland,W,3,36,12.0,1
9,2019-11-16,Ohio State,@,Rutgers,W,5,68,13.6,2
10,2019-11-23,Ohio State,,Penn State,W,2,21,10.5,0
11,2019-12-07,Ohio State,N,Wisconsin,W,3,55,18.3,0
12,2019-12-28,Ohio State,N,Clemson*,L,3,38,12.7,0
