Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2019-08-29,Arizona State,,Kent State,W,4,140,35.0,1,0,0,,0,0,0,,0,2,1,0.5,0,0,0,0,0.0,0.0
2,2019-09-06,Arizona State,,Sacramento State,W,4,98,24.5,0,0,0,,0,0,0,,0,1,38,38.0,0,0,0,0,0.0,0.0
3,2019-09-14,Arizona State,@,Michigan State,W,5,64,12.8,0,0,0,,0,0,0,,0,1,-3,-3.0,0,0,0,0,0.0,0.0
4,2019-09-21,Arizona State,,Colorado,L,9,122,13.6,1,0,0,,0,2,56,28.0,0,0,0,,0,0,0,0,0.0,0.0
5,2019-09-27,Arizona State,@,California,W,2,31,15.5,0,0,0,,0,2,59,29.5,0,3,30,10.0,0,0,0,0,0.0,0.0
6,2019-10-12,Arizona State,,Washington State,W,7,196,28.0,3,0,0,,0,1,16,16.0,0,0,0,,0,0,0,0,0.0,0.0
7,2019-10-19,Arizona State,@,Utah,L,1,7,7.0,0,0,0,,0,2,51,25.5,0,0,0,,0,1,0,1,0.0,0.0
8,2019-10-26,Arizona State,@,UCLA,L,6,82,13.7,0,0,0,,0,2,51,25.5,0,1,31,31.0,0,0,0,0,0.0,0.0
9,2019-11-09,Arizona State,,Southern California,L,5,51,10.2,1,0,0,,0,3,169,56.3,0,0,0,,0,0,0,0,0.0,0.0
10,2019-11-16,Arizona State,@,Oregon State,L,10,173,17.3,1,0,0,,0,2,44,22.0,0,3,76,25.3,1,0,0,0,0.0,0.0
11,2019-11-23,Arizona State,,Oregon,W,7,161,23.0,1,0,0,,0,0,0,,0,3,53,17.7,0,0,0,0,0.0,0.0
12,2019-11-30,Arizona State,,Arizona,W,5,67,13.4,0,1,6,6.0,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0
