Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD
1,2019-08-31,South Carolina,N,North Carolina,L,1,7,7.0,0,0,0,,0,3,66,22.0,0
2,2019-09-07,South Carolina,,Charleston Southern,W,5,112,22.4,2,1,15,15.0,0,0,0,,0
3,2019-09-14,South Carolina,,Alabama,L,9,79,8.8,0,0,0,,0,0,0,,0
4,2019-09-21,South Carolina,@,Missouri,L,6,113,18.8,1,0,0,,0,0,0,,0
5,2019-09-28,South Carolina,,Kentucky,W,6,37,6.2,0,0,0,,0,0,0,,0
6,2019-10-12,South Carolina,@,Georgia,W,6,78,13.0,1,1,7,7.0,0,0,0,,0
7,2019-10-19,South Carolina,,Florida,L,7,78,11.1,0,0,0,,0,0,0,,0
8,2019-10-26,South Carolina,@,Tennessee,L,8,83,10.4,0,0,0,,0,1,6,6.0,0
9,2019-11-02,South Carolina,,Vanderbilt,W,14,139,9.9,1,0,0,,0,3,53,17.7,0
10,2019-11-09,South Carolina,,Appalachian State,L,9,90,10.0,1,0,0,,0,0,0,,0
