Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2019-09-01,Oklahoma,,Houston,W,2,46,23.0,1,0,0,,0,3,26,8.7,0,0,0,0,0.0,0.0
2,2019-09-07,Oklahoma,,South Dakota,W,6,144,24.0,1,0,0,,0,2,23,11.5,0,0,0,0,0.0,0.0
3,2019-09-14,Oklahoma,@,UCLA,W,1,39,39.0,1,1,1,1.0,1,1,0,0.0,0,0,0,0,0.0,0.0
4,2019-09-28,Oklahoma,,Texas Tech,W,7,185,26.4,3,0,0,,0,2,9,4.5,0,0,0,0,0.0,0.0
5,2019-10-05,Oklahoma,@,Kansas,W,2,25,12.5,1,1,-20,-20.0,0,1,46,46.0,0,0,0,0,0.0,0.0
6,2019-10-12,Oklahoma,N,Texas,W,10,171,17.1,3,1,4,4.0,0,3,6,2.0,0,0,0,0,0.0,0.0
7,2019-10-19,Oklahoma,,West Virginia,W,3,71,23.7,0,1,9,9.0,0,3,6,2.0,0,0,0,0,0.0,0.0
8,2019-10-26,Oklahoma,@,Kansas State,L,5,135,27.0,1,1,-5,-5.0,0,2,22,11.0,0,0,0,0,0.0,0.0
9,2019-11-09,Oklahoma,,Iowa State,W,8,167,20.9,2,0,0,,0,3,28,9.3,0,0,0,0,0.0,0.0
10,2019-11-23,Oklahoma,,Texas Christian,W,2,16,8.0,1,1,21,21.0,0,2,12,6.0,0,0,0,0,0.0,0.0
11,2019-11-30,Oklahoma,@,Oklahoma State,W,4,36,9.0,0,2,8,4.0,0,0,0,,0,0,0,0,0.0,0.0
12,2019-12-07,Oklahoma,N,Baylor,W,8,173,21.6,0,1,2,2.0,0,2,1,0.5,0,1,0,1,0.0,0.0
13,2019-12-28,Oklahoma,N,Louisiana State*,L,4,119,29.8,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0
