Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk,FR,Yds,TD,FF
1,2019-09-02,Notre Dame,@,Louisville,W,5,94,18.8,0,0,0,0,0.0,0.0,0,,,0
2,2019-09-14,Notre Dame,,New Mexico,W,4,96,24.0,1,0,0,0,0.0,0.0,0,,,0
3,2019-09-21,Notre Dame,@,Georgia,L,6,66,11.0,1,0,0,0,0.0,0.0,1,,,0
4,2019-09-28,Notre Dame,,Virginia,W,6,30,5.0,0,0,0,0,0.0,0.0,0,,,0
5,2019-10-05,Notre Dame,,Bowling Green State,W,3,61,20.3,2,0,0,0,0.0,0.0,0,,,0
6,2019-10-12,Notre Dame,,Southern California,W,3,47,15.7,0,2,1,3,0.0,0.0,0,,,0
7,2019-10-26,Notre Dame,@,Michigan,L,2,42,21.0,0,0,0,0,0.0,0.0,0,,,0
8,2019-11-02,Notre Dame,,Virginia Tech,W,8,118,14.8,0,0,0,0,0.0,0.0,0,,,0
9,2019-11-09,Notre Dame,@,Duke,W,5,97,19.4,1,0,0,0,0.0,0.0,0,,,0
10,2019-11-16,Notre Dame,,Navy,W,7,117,16.7,4,0,0,0,0.0,0.0,0,,,0
11,2019-11-23,Notre Dame,,Boston College,W,7,60,8.6,1,0,0,0,0.0,0.0,0,,,0
12,2019-11-30,Notre Dame,@,Stanford,W,3,63,21.0,2,1,1,2,0.0,0.0,0,,,0
13,2019-12-28,Notre Dame,N,Iowa State*,W,7,146,20.9,1,0,0,0,0.0,0.0,1,,,0
