Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD
1,2019-09-02,Notre Dame,@,Louisville,W,1,2,2.0,0,0,0,,0,1,-2,-2.0,0
2,2019-09-14,Notre Dame,,New Mexico,W,2,57,28.5,1,0,0,,0,1,17,17.0,0
3,2019-09-21,Notre Dame,@,Georgia,L,4,22,5.5,0,0,0,,0,0,0,,0
4,2019-09-28,Notre Dame,,Virginia,W,2,32,16.0,0,0,0,,0,1,1,1.0,0
5,2019-10-05,Notre Dame,,Bowling Green State,W,1,24,24.0,0,0,0,,0,3,34,11.3,0
6,2019-10-12,Notre Dame,,Southern California,W,5,45,9.0,0,1,7,7.0,0,0,0,,0
7,2019-11-02,Notre Dame,,Virginia Tech,W,5,51,10.2,0,0,0,,0,4,24,6.0,0
8,2019-11-09,Notre Dame,@,Duke,W,5,49,9.8,2,0,0,,0,2,51,25.5,0
9,2019-11-16,Notre Dame,,Navy,W,3,57,19.0,0,0,0,,0,2,9,4.5,0
10,2019-11-23,Notre Dame,,Boston College,W,7,71,10.1,1,0,0,,0,4,47,11.8,0
11,2019-12-28,Notre Dame,N,Iowa State*,W,6,46,7.7,0,1,-5,-5.0,0,2,-1,-0.5,0
