Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Cmp,Att,Pct,Yds,TD,Int,Rate,Ret,Yds,Avg,TD
1,2019-08-30,Michigan State,,Tulsa,W,2,18,9.0,0,1,4,4.0,0,0,0,,0,0,0,,2,13,6.5,0
2,2019-09-07,Michigan State,,Western Michigan,W,5,63,12.6,1,0,0,,0,0,0,,0,0,0,,1,10,10.0,0
3,2019-09-14,Michigan State,,Arizona State,L,5,39,7.8,0,0,0,,0,0,0,,0,0,0,,2,11,5.5,0
4,2019-09-21,Michigan State,@,Northwestern,W,4,70,17.5,1,1,13,13.0,0,0,0,,0,0,0,,2,6,3.0,0
5,2019-09-28,Michigan State,,Indiana,W,4,67,16.8,0,0,0,,0,0,0,,0,0,0,,0,0,,0
6,2019-10-05,Michigan State,@,Ohio State,L,4,42,10.5,0,2,8,4.0,0,0,0,,0,0,0,,0,0,,0
7,2019-10-12,Michigan State,@,Wisconsin,L,3,34,11.3,0,1,0,0.0,0,0,0,,0,0,0,,0,0,,0
8,2019-10-26,Michigan State,,Penn State,L,3,66,22.0,0,0,0,,0,0,0,,0,0,0,,0,0,,0
9,2019-11-09,Michigan State,,Illinois,L,7,128,18.3,0,1,-3,-3.0,0,0,0,,0,0,0,,0,0,,0
10,2019-11-16,Michigan State,@,Michigan,L,6,78,13.0,0,0,0,,0,0,0,,0,0,0,,0,0,,0
11,2019-11-23,Michigan State,@,Rutgers,W,11,136,12.4,3,0,0,,0,0,0,,0,0,0,,0,0,,0
12,2019-11-30,Michigan State,,Maryland,W,4,84,21.0,0,0,0,,0,0,1,0.0,0,0,0,0.0,0,0,,0
13,2019-12-27,Michigan State,N,Wake Forest*,W,8,97,12.1,1,0,0,,0,0,1,0.0,0,0,0,0.0,0,0,,0
