Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2019-08-31,Baylor,,Stephen F. Austin,W,5,46,9.2,0,0,0,0,0.0,0.0
2,2019-09-07,Baylor,,Texas-San Antonio,W,7,101,14.4,3,0,0,0,0.0,0.0
3,2019-09-21,Baylor,@,Rice,W,6,102,17.0,0,0,0,0,0.0,0.0
4,2019-09-28,Baylor,,Iowa State,W,6,106,17.7,2,0,0,0,0.0,0.0
5,2019-10-05,Baylor,@,Kansas State,W,5,83,16.6,0,0,0,0,0.0,0.0
6,2019-10-12,Baylor,,Texas Tech,W,3,65,21.7,0,0,0,0,0.0,0.0
7,2019-10-19,Baylor,@,Oklahoma State,W,1,16,16.0,0,1,0,1,0.0,0.0
8,2019-10-31,Baylor,,West Virginia,W,5,99,19.8,1,0,0,0,0.0,0.0
9,2019-11-09,Baylor,@,Texas Christian,W,6,57,9.5,2,1,0,1,0.0,0.0
10,2019-11-16,Baylor,,Oklahoma,L,6,92,15.3,2,0,0,0,0.0,0.0
11,2019-11-23,Baylor,,Texas,W,7,125,17.9,1,0,0,0,0.0,0.0
12,2019-11-30,Baylor,@,Kansas,W,4,53,13.3,0,0,0,0,0.0,0.0
13,2020-01-01,Baylor,N,Georgia*,L,5,75,15.0,1,0,0,0,0.0,0.0
