Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2019-08-31,Washington State,,New Mexico State,W,7,103,14.7,1,0,0,0,0.0,0.0
2,2019-09-07,Washington State,,Northern Colorado,W,4,72,18.0,0,0,0,0,0.0,0.0
3,2019-09-13,Washington State,N,Houston,W,2,52,26.0,1,0,0,0,0.0,0.0
4,2019-09-21,Washington State,,UCLA,L,4,63,15.8,1,0,0,0,0.0,0.0
5,2019-09-28,Washington State,@,Utah,L,5,62,12.4,0,0,0,0,0.0,0.0
6,2019-10-12,Washington State,@,Arizona State,L,6,97,16.2,1,0,0,0,0.0,0.0
7,2019-10-19,Washington State,,Colorado,W,3,32,10.7,1,0,0,0,0.0,0.0
8,2019-10-26,Washington State,@,Oregon,L,5,56,11.2,0,1,1,2,0.0,0.0
9,2019-11-09,Washington State,@,California,L,2,23,11.5,0,0,0,0,0.0,0.0
10,2019-11-16,Washington State,,Stanford,W,5,54,10.8,0,0,0,0,0.0,0.0
11,2019-11-23,Washington State,,Oregon State,W,5,75,15.0,2,0,0,0,0.0,0.0
12,2019-11-29,Washington State,@,Washington,L,7,51,7.3,0,0,0,0,0.0,0.0
13,2019-12-27,Washington State,N,Air Force*,L,3,22,7.3,1,0,0,0,0.0,0.0
