Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2019-09-21,Michigan,@,Wisconsin,L,1,5,5.0,1,0,0,,0,0,0,,0,1,0,1,0.0,0.0
2,2019-09-28,Michigan,,Rutgers,W,4,62,15.5,0,0,0,,0,3,18,6.0,0,0,0,0,0.0,0.0
3,2019-10-05,Michigan,,Iowa,W,4,26,6.5,0,1,-9,-9.0,0,1,36,36.0,0,0,0,0,0.0,0.0
4,2019-10-12,Michigan,@,Illinois,W,3,36,12.0,1,0,0,,0,1,3,3.0,0,0,0,0,0.0,0.0
5,2019-10-19,Michigan,@,Penn State,L,5,46,9.2,0,0,0,,0,5,12,2.4,0,0,0,0,0.0,0.0
6,2019-10-26,Michigan,,Notre Dame,W,2,28,14.0,1,0,0,,0,4,24,6.0,0,0,0,0,0.0,0.0
7,2019-11-02,Michigan,@,Maryland,W,2,11,5.5,0,0,0,,0,5,15,3.0,0,0,0,0,0.0,0.0
8,2019-11-16,Michigan,,Michigan State,W,4,48,12.0,1,0,0,,0,2,58,29.0,0,0,0,0,0.0,0.0
9,2019-11-23,Michigan,@,Indiana,W,5,73,14.6,1,0,0,,0,1,7,7.0,0,0,0,0,0.0,0.0
10,2019-11-30,Michigan,,Ohio State,L,3,69,23.0,1,0,0,,0,1,2,2.0,0,0,0,0,0.0,0.0
11,2020-01-01,Michigan,N,Alabama*,L,1,34,34.0,0,1,2,2.0,0,1,-2,-2.0,0,0,0,0,0.0,0.0
