Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2019-08-24,Florida,N,Miami (FL),W,0,0,,0,0,0,,0,1,23,23.0,0,3,19,6.3,0,1,0,1,0.0,0.0
2,2019-09-07,Florida,,Tennessee-Martin,W,1,10,10.0,0,0,0,,0,0,0,,0,3,3,1.0,0,0,0,0,0.0,0.0
3,2019-09-14,Florida,@,Kentucky,W,4,57,14.3,1,0,0,,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0
4,2019-09-21,Florida,,Tennessee,W,3,67,22.3,1,0,0,,0,0,0,,0,1,10,10.0,0,0,0,0,0.0,0.0
5,2019-10-05,Florida,,Auburn,W,6,146,24.3,1,0,0,,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0
6,2019-10-12,Florida,@,Louisiana State,L,2,39,19.5,0,1,8,8.0,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0
7,2019-10-19,Florida,@,South Carolina,W,5,20,4.0,1,1,1,1.0,0,1,16,16.0,0,1,6,6.0,0,1,0,1,0.0,0.0
8,2019-11-02,Florida,N,Georgia,L,8,91,11.4,1,0,0,,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0
9,2019-11-09,Florida,,Vanderbilt,W,0,0,,0,2,18,9.0,0,0,0,,0,4,16,4.0,0,0,0,0,0.0,0.0
10,2019-11-16,Florida,@,Missouri,W,1,4,4.0,0,0,0,,0,0,0,,0,1,0,0.0,0,0,0,0,0.0,0.0
11,2019-11-30,Florida,,Florida State,W,5,62,12.4,2,0,0,,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0
12,2019-12-30,Florida,N,Virginia*,W,3,21,7.0,0,0,0,,0,0,0,,0,1,2,2.0,0,0,0,0,0.0,0.0
