Rk,Date,School,,Opponent,,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Ret,Yds,Avg,TD,Solo,Ast,Tot,Loss,Sk
1,2019-08-31,Alabama,N,Duke,W,2,14,7.0,0,0,0,,0,1,22,22.0,0,0,0,0,0.0,0.0
2,2019-09-07,Alabama,,New Mexico State,W,4,66,16.5,1,1,75,75.0,1,1,19,19.0,0,0,0,0,0.0,0.0
3,2019-09-14,Alabama,@,South Carolina,W,6,122,20.3,1,0,0,,0,0,0,,0,0,0,0,0.0,0.0
4,2019-09-21,Alabama,,Southern Mississippi,W,4,148,37.0,2,0,0,,0,0,0,,0,1,1,2,0.0,0.0
5,2019-09-28,Alabama,,Mississippi,W,1,11,11.0,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0
6,2019-10-12,Alabama,@,Texas A&M,W,1,33,33.0,1,0,0,,0,4,131,32.8,0,0,1,1,0.0,0.0
7,2019-10-19,Alabama,,Tennessee,W,4,72,18.0,0,0,0,,0,2,43,21.5,0,1,1,2,0.0,0.0
8,2019-10-26,Alabama,,Arkansas,W,4,47,11.8,1,0,0,,0,1,0,0.0,0,0,0,0,0.0,0.0
9,2019-11-09,Alabama,,Louisiana State,L,3,68,22.7,0,0,0,,0,3,71,23.7,0,0,0,0,0.0,0.0
10,2019-11-16,Alabama,@,Mississippi State,W,3,39,13.0,0,0,0,,0,0,0,,0,0,0,0,0.0,0.0
11,2019-11-30,Alabama,@,Auburn,L,6,99,16.5,1,0,0,,0,0,0,,0,0,0,0,0.0,0.0
12,2020-01-01,Alabama,N,Michigan*,W,2,27,13.5,0,1,0,0.0,0,0,0,,0,1,0,1,0.0,0.0
